"V1" "V2" "V3"
"884" 1000 1584893 884
"885" 1000 2511886 885
"886" 1000 3981072 886
"887" 1000 6309573 887
"888" 1000 1e+07 888
"889" 5000 6310 889
"890" 5000 10000 890
"891" 5000 15849 891
"892" 5000 25119 892
"893" 5000 39811 893
"894" 5000 63096 894
"895" 5000 1e+05 895
"896" 5000 158489 896
"897" 5000 251189 897
"898" 5000 398107 898
"899" 5000 630957 899
"900" 5000 1e+06 900
"901" 5000 1584893 901
"902" 5000 2511886 902
"903" 5000 3981072 903
"904" 5000 6309573 904
"905" 5000 1e+07 905
"906" 10000 15849 906
"907" 10000 25119 907
"908" 10000 39811 908
"909" 10000 63096 909
"910" 10000 1e+05 910
"911" 10000 158489 911
"912" 10000 251189 912
"913" 10000 398107 913
"914" 10000 630957 914
"915" 10000 1e+06 915
"916" 10000 1584893 916
"917" 10000 2511886 917
"918" 10000 3981072 918
"919" 10000 6309573 919
"920" 10000 1e+07 920
"921" 50 1000 921
"922" 50 1585 922
"923" 50 2512 923
"924" 50 3981 924
"925" 50 6310 925
"926" 50 10000 926
"927" 50 15849 927
"928" 50 25119 928
"929" 50 39811 929
"930" 50 63096 930
"931" 50 1e+05 931
"932" 50 158489 932
"933" 50 251189 933
"934" 50 398107 934
"935" 50 630957 935
"936" 50 1e+06 936
"937" 50 1584893 937
"938" 50 2511886 938
"939" 50 3981072 939
"940" 50 6309573 940
"941" 50 1e+07 941
"942" 100 1000 942
"943" 100 1585 943
"944" 100 2512 944
"945" 100 3981 945
"946" 100 6310 946
"947" 100 10000 947
"948" 100 15849 948
"949" 100 25119 949
"950" 100 39811 950
"951" 100 63096 951
"952" 100 1e+05 952
"953" 100 158489 953
"954" 100 251189 954
"955" 100 398107 955
"956" 100 630957 956
"957" 100 1e+06 957
"958" 100 1584893 958
"959" 100 2511886 959
"960" 100 3981072 960
"961" 100 6309573 961
"962" 100 1e+07 962
"963" 500 1000 963
"964" 500 1585 964
"965" 500 2512 965
"966" 500 3981 966
"967" 500 6310 967
"968" 500 10000 968
"969" 500 15849 969
"970" 500 25119 970
"971" 500 39811 971
"972" 500 63096 972
"973" 500 1e+05 973
"974" 500 158489 974
"975" 500 251189 975
"976" 500 398107 976
"977" 500 630957 977
"978" 500 1e+06 978
"979" 500 1584893 979
"980" 500 2511886 980
"981" 500 3981072 981
"982" 500 6309573 982
"983" 500 1e+07 983
"984" 1000 1585 984
"985" 1000 2512 985
"986" 1000 3981 986
"987" 1000 6310 987
"988" 1000 10000 988
"989" 1000 15849 989
"990" 1000 25119 990
"991" 1000 39811 991
"992" 1000 63096 992
"993" 1000 1e+05 993
"994" 1000 158489 994
"995" 1000 251189 995
"996" 1000 398107 996
"997" 1000 630957 997
"998" 1000 1e+06 998
"999" 1000 1584893 999
"1000" 1000 2511886 1000
"1001" 1000 3981072 1001
"1002" 1000 6309573 1002
"1003" 1000 1e+07 1003
"1004" 5000 6310 1004
"1005" 5000 10000 1005
"1006" 5000 15849 1006
"1007" 5000 25119 1007
"1008" 5000 39811 1008
"1009" 5000 63096 1009
"1010" 5000 1e+05 1010
"1011" 5000 158489 1011
"1012" 5000 251189 1012
"1013" 5000 398107 1013
"1014" 5000 630957 1014
"1015" 5000 1e+06 1015
"1016" 5000 1584893 1016
"1017" 5000 2511886 1017
"1018" 5000 3981072 1018
"1019" 5000 6309573 1019
"1020" 5000 1e+07 1020
"1021" 10000 15849 1021
"1022" 10000 25119 1022
"1023" 10000 39811 1023
"1024" 10000 63096 1024
"1025" 10000 1e+05 1025
"1026" 10000 158489 1026
"1027" 10000 251189 1027
"1028" 10000 398107 1028
"1029" 10000 630957 1029
"1030" 10000 1e+06 1030
"1031" 10000 1584893 1031
"1032" 10000 2511886 1032
"1033" 10000 3981072 1033
"1034" 10000 6309573 1034
"1035" 10000 1e+07 1035
"1036" 50 1000 1036
"1037" 50 1585 1037
"1038" 50 2512 1038
"1039" 50 3981 1039
"1040" 50 6310 1040
"1041" 50 10000 1041
"1042" 50 15849 1042
"1043" 50 25119 1043
"1044" 50 39811 1044
"1045" 50 63096 1045
"1046" 50 1e+05 1046
"1047" 50 158489 1047
"1048" 50 251189 1048
"1049" 50 398107 1049
"1050" 50 630957 1050
"1051" 50 1e+06 1051
"1052" 50 1584893 1052
"1053" 50 2511886 1053
"1054" 50 3981072 1054
"1055" 50 6309573 1055
"1056" 50 1e+07 1056
"1057" 100 1000 1057
"1058" 100 1585 1058
"1059" 100 2512 1059
"1060" 100 3981 1060
"1061" 100 6310 1061
"1062" 100 10000 1062
"1063" 100 15849 1063
"1064" 100 25119 1064
"1065" 100 39811 1065
"1066" 100 63096 1066
"1067" 100 1e+05 1067
"1068" 100 158489 1068
"1069" 100 251189 1069
"1070" 100 398107 1070
"1071" 100 630957 1071
"1072" 100 1e+06 1072
"1073" 100 1584893 1073
"1074" 100 2511886 1074
"1075" 100 3981072 1075
"1076" 100 6309573 1076
"1077" 100 1e+07 1077
"1078" 500 1000 1078
"1079" 500 1585 1079
"1080" 500 2512 1080
"1081" 500 3981 1081
"1082" 500 6310 1082
"1083" 500 10000 1083
"1084" 500 15849 1084
"1085" 500 25119 1085
"1086" 500 39811 1086
"1087" 500 63096 1087
"1088" 500 1e+05 1088
"1089" 500 158489 1089
"1090" 500 251189 1090
"1091" 500 398107 1091
"1092" 500 630957 1092
"1093" 500 1e+06 1093
"1094" 500 1584893 1094
"1095" 500 2511886 1095
"1096" 500 3981072 1096
"1097" 500 6309573 1097
"1098" 500 1e+07 1098
"1099" 1000 1585 1099
"1100" 1000 2512 1100
"1101" 1000 3981 1101
"1102" 1000 6310 1102
"1103" 1000 10000 1103
"1104" 1000 15849 1104
"1105" 1000 25119 1105
"1106" 1000 39811 1106
"1107" 1000 63096 1107
"1108" 1000 1e+05 1108
"1109" 1000 158489 1109
"1110" 1000 251189 1110
"1111" 1000 398107 1111
"1112" 1000 630957 1112
"1113" 1000 1e+06 1113
"1114" 1000 1584893 1114
"1115" 1000 2511886 1115
"1116" 1000 3981072 1116
"1117" 1000 6309573 1117
"1118" 1000 1e+07 1118
"1119" 5000 6310 1119
"1120" 5000 10000 1120
"1121" 5000 15849 1121
"1122" 5000 25119 1122
"1123" 5000 39811 1123
"1124" 5000 63096 1124
"1125" 5000 1e+05 1125
"1126" 5000 158489 1126
"1127" 5000 251189 1127
"1128" 5000 398107 1128
"1129" 5000 630957 1129
"1130" 5000 1e+06 1130
"1131" 5000 1584893 1131
"1132" 5000 2511886 1132
"1133" 5000 3981072 1133
"1134" 5000 6309573 1134
"1135" 5000 1e+07 1135
"1136" 10000 15849 1136
"1137" 10000 25119 1137
"1138" 10000 39811 1138
"1139" 10000 63096 1139
"1140" 10000 1e+05 1140
"1141" 10000 158489 1141
"1142" 10000 251189 1142
